start1
4,4000,0:00:04,
(0.1, -2.0, 1.0, 0.0, 0.0)
(0.2, -2.0, 1.0, 0.0, 0.0)
(0.3, -2.0, 1.0, 0.0, 0.0)
(0.4, -2.0, 1.0, 0.0, 0.0)
(0.5, -2.0, 1.0, 0.0, 0.0)
(0.6, -2.0, 1.0, 0.0, 0.0)
(0.7, -2.0, 1.0, 0.0, 0.0)
(0.8, -1.989, 0.996125, 0.009355, 0.00349141)
(0.9, -2.0, 1.0, 0.0, 0.0)
(1.0, -2.0, 1.0, 0.0, 0.0)
(1.1, -1.9995, 0.999875, 0.00199975, 0.00049994)
(1.2, -1.983, 0.994375, 0.01161223, 0.00407718)
(1.3, -1.9825, 0.994375, 0.01178028, 0.0040154)
(1.4, -1.9785, 0.99325, 0.01304419, 0.00433794)
(1.5, -1.929, 0.976125, 0.0234059, 0.0083648)
(1.6, -1.9485, 0.984, 0.02023341, 0.00663144)
(1.7, -1.8605, 0.953375, 0.03222047, 0.01146972)
(1.8, -1.8535, 0.95075, 0.03295681, 0.01180245)
(1.9, -1.83, 0.943375, 0.03538926, 0.01254689)
(2.0, -1.7035, 0.8995, 0.04494831, 0.01631254)
(2.1, -1.7275, 0.90975, 0.04348534, 0.0153922)
(2.2, -1.7285, 0.91, 0.04351036, 0.01539805)
(2.3, -1.7055, 0.902875, 0.0451783, 0.01589078)
(2.4, -1.6565, 0.884625, 0.04795864, 0.01723382)
(2.5, -1.686, 0.897, 0.0461044, 0.01618839)
(2.6, -1.4915, 0.830875, 0.05580064, 0.01992077)
(2.7, -1.5295, 0.843625, 0.05453915, 0.01938911)
(2.8, -1.489, 0.830375, 0.05603138, 0.0199414)
(2.9, -1.3635, 0.788125, 0.05972831, 0.02147524)
(3.0, -1.503, 0.83775, 0.05531694, 0.01938298)
(3.1, -1.3835, 0.79725, 0.05976379, 0.02110852)
(3.2, -1.33, 0.7775, 0.06109337, 0.0218512)
(3.3, -1.331, 0.777, 0.06080918, 0.02187656)
(3.4, -1.156, 0.72225, 0.06423905, 0.0229765)
(3.5, -1.274, 0.761125, 0.06295789, 0.02225994)
(3.6, -1.216, 0.741625, 0.06347737, 0.02264331)
(3.7, -1.246, 0.753875, 0.06335563, 0.02228093)
(3.8, -1.1105, 0.704875, 0.06492426, 0.02343832)
(3.9, -1.1225, 0.712, 0.06532974, 0.0232212)
(4.0, -1.154, 0.72262, 0.0646259, 0.0229783)
end1
start2
16,16000,0:00:29,
(0.1, -1.9995, 0.999875, 0.001999, 0.00049975)
(0.2, -1.99996875, 0.99999219, 0.00049998, 0.000125)
(0.3, -1.99978125, 0.99994531, 0.00132259, 0.00033065)
(0.4, -1.99971875, 0.99992969, 0.00149958, 0.00037489)
(0.5, -1.9995625, 0.99989063, 0.00187001, 0.0004675)
(0.6, -1.999875, 0.99996875, 0.00099987, 0.00024997)
(0.7, -1.9995, 0.999875, 0.001999, 0.00049975)
(0.8, -1.999125, 0.99978125, 0.00264344, 0.00066086)
(0.9, -1.99725, 0.9993125, 0.0046775, 0.00116937)
(1.0, -1.99871875, 0.99967969, 0.00319746, 0.00079936)
(1.1, -1.99578125, 0.99894531, 0.00578491, 0.00144623)
(1.2, -1.98451563, 0.99603125, 0.01129054, 0.00294711)
(1.3, -1.9696875, 0.99194531, 0.01598588, 0.00442042)
(1.4, -1.97134375, 0.99232031, 0.01552775, 0.00431315)
(1.5, -1.94290625, 0.98374219, 0.02293403, 0.00706481)
(1.6, -1.92014062, 0.97745313, 0.02721713, 0.0083586)
(1.7, -1.90728125, 0.97383594, 0.02938455, 0.00903121)
(1.8, -1.820875, 0.94220313, 0.04213078, 0.0166824)
(1.9, -1.83321875, 0.94860156, 0.04064412, 0.01474036)
(2.0, -1.77929688, 0.92990625, 0.04545965, 0.01705366)
(2.1, -1.68985937, 0.89567969, 0.05487205, 0.02247119)
(2.2, -1.62323438, 0.86550781, 0.05838729, 0.02589424)
(2.3, -1.47121875, 0.81050781, 0.06542932, 0.0288173)
(2.4, -1.4760625, 0.80727344, 0.06858175, 0.03087981)
(2.5, -1.33857812, 0.74848437, 0.06963943, 0.03358563)
(2.6, -1.29873437, 0.72592969, 0.07331993, 0.03573158)
(2.7, -1.1875625, 0.67889844, 0.07334422, 0.0363168)
(2.8, -1.14639062, 0.66078906, 0.07374062, 0.03662893)
(2.9, -1.02615625, 0.59983594, 0.07321409, 0.03824644)
(3.0, -0.99964062, 0.59269531, 0.07257279, 0.03774966)
(3.1, -0.97226563, 0.57179687, 0.07508416, 0.03926184)
(3.2, -0.90257813, 0.54449219, 0.0738035, 0.0386001)
(3.3, -0.86445313, 0.52748438, 0.07186686, 0.03792189)
(3.4, -0.78107812, 0.48484375, 0.06883029, 0.03722163)
(3.5, -0.79495313, 0.50204688, 0.07058934, 0.03688659)
(3.6, -0.72265625, 0.46272656, 0.06426828, 0.0353753)
(3.7, -0.67560937, 0.44134375, 0.06427689, 0.03530954)
(3.8, -0.66804688, 0.43314063, 0.06351261, 0.03562314)
(3.9, -0.673125, 0.44288281, 0.06491778, 0.03515731)
(4.0, -0.6339531, 0.4231875, 0.0615901, 0.0343084)
end2
start3
36,36000,0:02:29,
(0.1, -1.99984568, 0.99995988, 0.00114358, 0.0003042)
(0.2, -1.99996914, 0.99999074, 0.00056653, 0.00017567)
(0.3, -1.99989815, 0.99996914, 0.0010362, 0.00032389)
(0.4, -1.99983333, 0.99995525, 0.00121675, 0.00033782)
(0.5, -1.9998642, 0.99996296, 0.00111081, 0.00031419)
(0.6, -1.99915123, 0.99975926, 0.00285211, 0.0008413)
(0.7, -1.99863272, 0.99959414, 0.00373431, 0.0011481)
(0.8, -1.9988642, 0.9996929, 0.00318608, 0.00089218)
(0.9, -1.99809568, 0.99950463, 0.00400374, 0.00106594)
(1.0, -1.99668827, 0.99915123, 0.00520567, 0.00135583)
(1.1, -1.99422222, 0.99849074, 0.00693769, 0.00185877)
(1.2, -1.98716667, 0.99660802, 0.01062942, 0.00293331)
(1.3, -1.98004321, 0.99482099, 0.01285755, 0.00342699)
