start1
4,100000,0:02:55,
(1.5, -1.95446688, 0.98744188, 0.01628747, 0.00490018)
(1.6, -1.93092875, 0.98045625, 0.02057436, 0.00646221)
(1.7, -1.9071375, 0.97338594, 0.02375048, 0.00750668)
(1.8, -1.86229313, 0.9572, 0.03098365, 0.0122429)
(1.9, -1.81458188, 0.94220531, 0.03492945, 0.01283903)
(2.0, -1.73544937, 0.90868656, 0.04284316, 0.01909853)
(2.1, -1.67974438, 0.87956125, 0.0513018, 0.02937903)
(2.2, -1.58758938, 0.83599375, 0.05557662, 0.03395629)
(2.3, -1.437255, 0.74691875, 0.06365934, 0.04474007)
(2.4, -1.30047312, 0.65286281, 0.06704936, 0.05157398)
(2.5, -1.22422875, 0.61250344, 0.06693782, 0.04979222)
(2.6, -1.09168938, 0.50652438, 0.06314905, 0.0541929)
(2.7, -1.02747937, 0.47953812, 0.06308621, 0.05076528)
(2.8, -0.94530687, 0.40515375, 0.05580627, 0.04965901)
(2.9, -0.87410813, 0.35389656, 0.05566523, 0.04699823)
(3.0, -0.84571063, 0.33725, 0.05356246, 0.04588835)
(3.1, -0.8003175, 0.30905031, 0.04923699, 0.04240355)
(3.2, -0.74779187, 0.29659031, 0.04727252, 0.04009014)
(3.3, -0.73539813, 0.28410125, 0.04995227, 0.04141641)
(3.4, -0.68914312, 0.25292875, 0.04540983, 0.03717883)
(3.5, -0.65579062, 0.25679344, 0.04592993, 0.03681173)
(3.6, -0.63087375, 0.22832844, 0.04379357, 0.03323895)
(3.7, -0.6236725, 0.2367825, 0.04528042, 0.03492129)
(3.8, -0.59590438, 0.21729813, 0.04309221, 0.03232203)
(3.9, -0.56067, 0.20586594, 0.04236292, 0.03047089)
(4.0, -0.5651512, 0.2138115, 0.0431017, 0.0317642)
end3
start4
100,100000,0:20:23,
(0.1, -1.9987976, 0.9996566, 0.00827121, 0.0023861)
(0.2, -1.9991, 0.9997548, 0.00681618, 0.00192344)
(0.3, -1.999254, 0.9997986, 0.00625184, 0.00170586)
(0.4, -1.99917, 0.999769, 0.00655417, 0.00185146)
(0.5, -1.998724, 0.9996372, 0.00883038, 0.00256509)
(0.6, -1.997588, 0.9991448, 0.01171988, 0.00408419)
(0.7, -1.9985536, 0.999577, 0.00811849, 0.00242952)
(0.8, -1.9986148, 0.999615, 0.00708163, 0.00206321)
(0.9, -1.9976164, 0.9992286, 0.00806259, 0.00284847)
(1.0, -1.9966104, 0.9991028, 0.00856153, 0.00247297)
(1.1, -1.9936924, 0.9983202, 0.01169145, 0.00327376)
(1.2, -1.9886456, 0.9970532, 0.01124798, 0.00299969)
(1.3, -1.9788688, 0.9943954, 0.01641305, 0.00476188)
(1.4, -1.9639476, 0.990247, 0.01970817, 0.00577157)
(1.5, -1.9563764, 0.9880446, 0.02061289, 0.00608214)
(1.6, -1.926382, 0.9792994, 0.02722234, 0.00841128)
(1.7, -1.8879304, 0.9669304, 0.0356589, 0.01213043)
(1.8, -1.8491756, 0.9526464, 0.04048489, 0.01547074)
(1.9, -1.8099568, 0.93749, 0.04469746, 0.01902619)
(2.0, -1.7324456, 0.9073026, 0.05322166, 0.02429469)
(2.1, -1.6743564, 0.881624, 0.05953718, 0.0303881)
(2.2, -1.5367512, 0.8015648, 0.07096793, 0.0494517)
(2.3, -1.3986728, 0.7120756, 0.07844326, 0.06228998)
(2.4, -1.2880972, 0.6323984, 0.08219601, 0.07202752)
(2.5, -1.1924972, 0.5573196, 0.08878346, 0.08297804)
(2.6, -1.0771492, 0.4451752, 0.07384242, 0.0783813)
(2.7, -0.9863084, 0.3727116, 0.07156581, 0.07490597)
(2.8, -0.9231552, 0.3395364, 0.06674996, 0.06653331)
(2.9, -0.8831552, 0.3241046, 0.06352782, 0.06300132)
(3.0, -0.8189104, 0.2827516, 0.05907698, 0.0586781)
(3.1, -0.7870788, 0.2456464, 0.05851921, 0.05546946)
(3.2, -0.7244232, 0.226384, 0.05823311, 0.04948393)
(3.3, -0.7123104, 0.2216038, 0.0596907, 0.05103366)
(3.4, -0.6789968, 0.2170068, 0.05554645, 0.04805608)
(3.5, -0.670944, 0.206783, 0.0571297, 0.04919062)
(3.6, -0.6499184, 0.2040428, 0.05700361, 0.048235)
(3.7, -0.6101356, 0.1697246, 0.05362728, 0.04086243)
(3.8, -0.594056, 0.1735946, 0.05121584, 0.04240759)
(3.9, -0.5781708, 0.1730152, 0.05362341, 0.04045937)
(4.0, -0.567338, 0.171377, 0.0533539, 0.0402973)
end4
start5
400,100000,1:18:49,
(0.1, -1.9964528, 0.9988404, 0.04889326, 0.01553408)
(0.2, -1.9951541, 0.9985327, 0.06152616, 0.01911761)
(0.3, -1.9957604, 0.9985886, 0.05096044, 0.01648064)
(0.4, -1.9961104, 0.99885815, 0.0559237, 0.01671407)
(0.5, -1.9956342, 0.998573, 0.05136349, 0.01663757)
(0.6, -1.9959719, 0.99883785, 0.05041948, 0.01479392)
(0.7, -1.9949926, 0.99845965, 0.05625675, 0.0177889)
(0.8, -1.9927538, 0.99664605, 0.06414778, 0.02663498)
(0.9, -1.9940094, 0.9982829, 0.05698414, 0.01757177)
(1.0, -1.9935358, 0.9980594, 0.05388296, 0.01717297)
(1.1, -1.991626, 0.99761715, 0.05908841, 0.01844264)
(1.2, -1.9837587, 0.9953454, 0.06040842, 0.02044512)
(1.3, -1.9738762, 0.99254765, 0.0654141, 0.02277595)
(1.4, -1.9604642, 0.98879085, 0.0708131, 0.02396587)
(1.5, -1.9492475, 0.98526595, 0.07334201, 0.02603583)
(1.6, -1.9233476, 0.97817795, 0.08118749, 0.02689507)
(1.7, -1.903163, 0.97148485, 0.08094577, 0.02788552)
(1.8, -1.8700648, 0.9601958, 0.08971047, 0.03324104)
(1.9, -1.7971504, 0.9347936, 0.10063231, 0.03858613)
(2.0, -1.7373358, 0.9088729, 0.1182424, 0.05207517)
(2.1, -1.6524419, 0.8645252, 0.12389961, 0.07713159)
(2.2, -1.5655152, 0.8154242, 0.17764793, 0.12539971)
(2.3, -1.4472724, 0.72349615, 0.15222323, 0.15667261)
(2.4, -1.1680335, 0.27888255, 0.13600235, 0.2850939)
(2.5, -1.1959101, 0.4986417, 0.17361248, 0.2124646)
(2.6, -1.0768743, 0.34072235, 0.1675743, 0.26324807)
(2.7, -0.9752488, 0.2358503, 0.13726909, 0.22824242)
(2.8, -0.9018614, 0.17602035, 0.11700026, 0.15691141)
(2.9, -0.8757797, 0.1491558, 0.12904006, 0.15701601)
(3.0, -0.8412465, 0.14933905, 0.12592887, 0.14966633)
(3.1, -0.7814849, 0.1306774, 0.13303291, 0.14655313)
(3.2, -0.7324892, 0.121082, 0.12166647, 0.12384337)
(3.3, -0.713582, 0.11748145, 0.12248848, 0.11518949)
(3.4, -0.711754, 0.1073893, 0.11607863, 0.11678402)
(3.5, -0.679612, 0.12146475, 0.11577564, 0.13014962)
(3.6, -0.6424732, 0.0950742, 0.1116718, 0.11817818)
(3.7, -0.6165563, 0.1060193, 0.11007663, 0.09908275)
(3.8, -0.6038462, 0.10450085, 0.11602558, 0.10906284)
(3.9, -0.5712245, 0.07967125, 0.11046052, 0.09132608)
(4.0, -0.568402, 0.0952662, 0.1203202, 0.1144048)
end5
