start1
5,100000,0:01:18,
(0.1, -1.0, 1.0, 0.0, 0.0)
(0.2, -1.0, 1.0, 0.0, 0.0)
(0.3, -1.0, 1.0, 0.0, 0.0)
(0.4, -0.9994, 0.999556, 0.00034628, 0.00027047)
(0.5, -0.995944, 0.996916, 0.00089838, 0.00071919)
(0.6, -0.989912, 0.992388, 0.00141258, 0.001123)
(0.7, -0.976336, 0.982248, 0.00214459, 0.00169766)
(0.8, -0.949032, 0.961504, 0.00310178, 0.00246997)
(0.9, -0.907736, 0.930984, 0.00406251, 0.00321442)
(1.0, -0.863976, 0.89792, 0.00480402, 0.00381333)
(1.1, -0.824104, 0.869196, 0.00532149, 0.00419437)
(1.2, -0.780744, 0.837868, 0.00577439, 0.00452991)
(1.3, -0.733072, 0.802504, 0.00616381, 0.00483837)
(1.4, -0.699768, 0.778644, 0.00637005, 0.00499005)
(1.5, -0.656472, 0.747772, 0.00659066, 0.00514485)
(1.6, -0.619504, 0.722712, 0.00675477, 0.00522927)
(1.7, -0.582752, 0.696296, 0.00688927, 0.00531146)
(1.8, -0.55564, 0.67714, 0.00694099, 0.00534133)
(1.9, -0.5186, 0.651388, 0.00697114, 0.00535019)
(2.0, -0.500696, 0.641328, 0.00703744, 0.00533926)
(2.1, -0.471112, 0.621844, 0.00707046, 0.00532389)
(2.2, -0.457248, 0.612908, 0.00709526, 0.00531524)
(2.3, -0.431584, 0.595684, 0.00708875, 0.00528402)
(2.4, -0.415144, 0.583668, 0.00707457, 0.00526585)
(2.5, -0.397288, 0.573512, 0.00707895, 0.00522479)
(2.6, -0.383896, 0.565352, 0.00707144, 0.0051937)
(2.7, -0.36808, 0.557404, 0.00710697, 0.00515782)
(2.8, -0.3578, 0.549068, 0.00705414, 0.00513141)
(2.9, -0.342432, 0.539864, 0.00705844, 0.00509456)
(3.0, -0.33624, 0.536832, 0.00706882, 0.00507775)
(3.1, -0.324264, 0.52902, 0.0070296, 0.00503693)
(3.2, -0.316448, 0.525608, 0.00707418, 0.00502362)
(3.3, -0.30024, 0.516488, 0.00706793, 0.0049736)
(3.4, -0.289336, 0.509808, 0.00704866, 0.00493682)
(3.5, -0.286584, 0.510276, 0.00711167, 0.0049398)
(3.6, -0.274392, 0.501148, 0.00705868, 0.00489532)
(3.7, -0.272648, 0.49884, 0.00703485, 0.00488798)
(3.8, -0.258416, 0.491188, 0.00702147, 0.00483535)
(3.9, -0.256848, 0.491596, 0.00703811, 0.00483019)
(4.0, -0.2507, 0.48822, 0.0070255, 0.0048051)
end1
start2
50,100000,0:02:35,
(0.1, -0.9949808, 0.977116, 0.00329228, 0.01521988)
(0.2, -0.9990624, 0.9976312, 0.00153377, 0.0038127)
(0.3, -0.9838104, 0.8526024, 0.00529147, 0.04901642)
(0.4, -0.9974176, 0.99399, 0.00356244, 0.00975668)
(0.5, -0.9814256, 0.8912512, 0.00596892, 0.03928242)
(0.6, -0.9336984, 0.6696128, 0.00956591, 0.05194801)
(0.7, -0.8965472, 0.5856524, 0.0110892, 0.05149352)
(0.8, -0.8515192, 0.4188904, 0.01159769, 0.04237571)
(0.9, -0.8154792, 0.388686, 0.01350374, 0.04307898)
(1.0, -0.7597432, 0.3232248, 0.01403602, 0.03582142)
(1.1, -0.7109536, 0.2840056, 0.01541577, 0.03144632)
(1.2, -0.67848, 0.2707856, 0.01637323, 0.03098421)
(1.3, -0.6469648, 0.2574344, 0.01720827, 0.03110894)
(1.4, -0.60908, 0.2290508, 0.01811059, 0.0271395)
(1.5, -0.586712, 0.2196068, 0.01801631, 0.02538909)
(1.6, -0.5472264, 0.2130404, 0.01901834, 0.02479227)
(1.7, -0.5252176, 0.2008112, 0.01893344, 0.02263517)
(1.8, -0.5035544, 0.19555, 0.01863988, 0.0224)
(1.9, -0.4841232, 0.1909464, 0.01945023, 0.02219906)
(2.0, -0.4611616, 0.1836548, 0.02036033, 0.0219719)
(2.1, -0.4383552, 0.1719452, 0.02019965, 0.02130786)
(2.2, -0.426424, 0.1750064, 0.02028046, 0.02142325)
(2.3, -0.4121832, 0.1721872, 0.01994124, 0.02043175)
(2.4, -0.3927632, 0.1744888, 0.02032403, 0.02054517)
(2.5, -0.3821624, 0.1732752, 0.02041619, 0.02035823)
(2.6, -0.3618328, 0.1704088, 0.02050487, 0.02001204)
(2.7, -0.3506376, 0.1689728, 0.02087165, 0.02026811)
(2.8, -0.341864, 0.1690636, 0.02184204, 0.01991219)
(2.9, -0.3293512, 0.1545124, 0.02157134, 0.01873371)
(3.0, -0.3188376, 0.1561512, 0.02094334, 0.01894486)
(3.1, -0.3101968, 0.1563304, 0.02134251, 0.01842827)
(3.2, -0.2977656, 0.154048, 0.0209684, 0.01848948)
(3.3, -0.2968424, 0.1597844, 0.02134072, 0.01923829)
(3.4, -0.2856352, 0.1508132, 0.02125986, 0.01802412)
(3.5, -0.2751808, 0.1513152, 0.02157836, 0.01804457)
(3.6, -0.2685256, 0.1515972, 0.02198854, 0.01817682)
(3.7, -0.2661184, 0.1490048, 0.02176434, 0.01756722)
(3.8, -0.2573288, 0.1490696, 0.02156089, 0.01793625)
(3.9, -0.2534384, 0.146712, 0.02155652, 0.01777297)
(4.0, -0.248149, 0.14788, 0.0218481, 0.0177783)
end2
start3
100,100000,0:04:00,
(0.1, -0.95804, 0.3783794, 0.00522549, 0.07132555)
(0.2, -0.9919168, 0.9424916, 0.00644393, 0.04361133)
(0.3, -0.9989708, 0.9986452, 0.00384518, 0.00493776)
(0.4, -0.9761564, 0.6434954, 0.00709783, 0.10990961)
(0.5, -0.9456516, 0.4843956, 0.00820499, 0.06772298)
(0.6, -0.934858, 0.5583038, 0.01320561, 0.10163273)
(0.7, -0.9032724, 0.4292704, 0.01442176, 0.09258639)
(0.8, -0.8498636, 0.2547662, 0.0175358, 0.05702752)
(0.9, -0.8034488, 0.26719, 0.01820491, 0.05939196)
(1.0, -0.7624424, 0.2585974, 0.02023398, 0.05673275)
(1.1, -0.7248092, 0.2066718, 0.02228501, 0.04716939)
(1.2, -0.6876972, 0.1958724, 0.02331315, 0.04413253)
(1.3, -0.6416372, 0.1709728, 0.02469757, 0.0424308)
(1.4, -0.6133728, 0.173458, 0.02517621, 0.04071206)
(1.5, -0.5836556, 0.148231, 0.02446164, 0.03653921)
(1.6, -0.5528952, 0.1520782, 0.02605052, 0.03720766)
(1.7, -0.5254144, 0.146393, 0.02764381, 0.0359776)
(1.8, -0.4965392, 0.137934, 0.02730369, 0.03226811)
(1.9, -0.4827416, 0.1363466, 0.02745268, 0.03298118)
(2.0, -0.4633012, 0.1338696, 0.02848337, 0.03279039)
(2.1, -0.4420704, 0.1223148, 0.02899284, 0.02943773)
(2.2, -0.4258836, 0.1297046, 0.02875156, 0.03139017)
(2.3, -0.4138792, 0.122264, 0.02918251, 0.03041952)
(2.4, -0.3943176, 0.1257672, 0.0298262, 0.03051921)
(2.5, -0.3790728, 0.116592, 0.02957274, 0.02890904)
(2.6, -0.3633884, 0.1193254, 0.02938002, 0.02939875)
(2.7, -0.3554304, 0.1124878, 0.02908449, 0.02835053)
(2.8, -0.3419152, 0.1094074, 0.02959779, 0.02628792)
(2.9, -0.3349352, 0.1137772, 0.03018361, 0.02735204)
(3.0, -0.3249192, 0.1157564, 0.03004357, 0.0285484)
(3.1, -0.313722, 0.1097724, 0.02995087, 0.02772299)
(3.2, -0.3034576, 0.1089722, 0.03026408, 0.02666971)
(3.3, -0.2949836, 0.1130362, 0.03039018, 0.02678233)
(3.4, -0.2854504, 0.1081682, 0.03092322, 0.02615797)
(3.5, -0.2786008, 0.1054044, 0.03093786, 0.02528298)
(3.6, -0.2619348, 0.1016644, 0.03187481, 0.02498493)
(3.7, -0.2637608, 0.1047028, 0.02993063, 0.02550643)
(3.8, -0.2556104, 0.104147, 0.03079693, 0.02520988)
(3.9, -0.2485756, 0.1011906, 0.03098569, 0.0244514)
(4.0, -0.250669, 0.1065, 0.0307732, 0.0255617)
end3
start4
1000,100000,0:59:54,
(0.1, -0.96699408, 0.82265862, 0.09883712, 0.13064782)
(0.2, -0.96310828, 0.72757392, 0.1195081, 0.133203)
(0.3, -0.9506722, 0.61418274, 0.09509216, 0.21732956)
(0.4, -0.9583634, 0.76730774, 0.10789578, 0.08414304)
(0.5, -0.96584444, 0.82305188, 0.10134211, 0.08852483)
(0.6, -0.93334504, 0.70888252, 0.08805445, 0.15575644)
(0.7, -0.89221004, 0.32032648, 0.0615203, 0.54123358)
(0.8, -0.83803964, 0.24496384, 0.07277882, 0.6145141)
(0.9, -0.80546032, 0.16407466, 0.06348161, 0.58204153)
(1.0, -0.77445616, 0.1552571, 0.09316995, 0.59326248)
(1.1, -0.7197002, 0.11154384, 0.08445757, 0.47042473)
(1.2, -0.68847884, 0.12186598, 0.07521769, 0.4480632)
(1.3, -0.65166552, 0.08610484, 0.08083367, 0.42977096)
(1.4, -0.60491952, 0.08486894, 0.09531983, 0.34142272)
(1.5, -0.58615524, 0.0836791, 0.09951154, 0.36935101)
(1.6, -0.55699328, 0.08747424, 0.08950718, 0.33041535)
(1.7, -0.52943092, 0.07518972, 0.07963344, 0.28023662)
(1.8, -0.50912396, 0.06410434, 0.0909649, 0.2950008)
(1.9, -0.49189064, 0.05893358, 0.10451659, 0.2782854)
(2.0, -0.46193732, 0.052159, 0.10201727, 0.26099165)
