start1
4,400,0:00:00,
(0.1, -2.0, 1.0, 0.0, 0.0)
(0.2, -2.0, 1.0, 0.0, 0.0)
(0.3, -2.0, 1.0, 0.0, 0.0)
(0.4, -2.0, 1.0, 0.0, 0.0)
(0.5, -2.0, 1.0, 0.0, 0.0)
(0.6, -2.0, 1.0, 0.0, 0.0)
(0.7, -2.0, 1.0, 0.0, 0.0)
(0.8, -2.0, 1.0, 0.0, 0.0)
(0.9, -2.0, 1.0, 0.0, 0.0)
(1.0, -2.0, 1.0, 0.0, 0.0)
(1.1, -2.0, 1.0, 0.0, 0.0)
(1.2, -1.945, 0.9825, 0.06541407, 0.02208506)
(1.3, -1.975, 0.99125, 0.04444097, 0.01649053)
(1.4, -1.965, 0.9875, 0.05244998, 0.01984313)
(1.5, -1.875, 0.95875, 0.09682458, 0.03401378)
(1.6, -2.0, 1.0, 0.0, 0.0)
(1.7, -1.98, 0.99375, 0.0397995, 0.01316957)
(1.8, -1.82, 0.93875, 0.1144727, 0.04153237)
(1.9, -1.795, 0.93375, 0.12132189, 0.04182628)
(2.0, -1.89, 0.96375, 0.0911921, 0.03197558)
(2.1, -1.705, 0.9025, 0.14184146, 0.05019711)
(2.2, -1.72, 0.9075, 0.13879481, 0.04906883)
(2.3, -1.8, 0.9325, 0.12, 0.04321747)
(2.4, -1.815, 0.9425, 0.11589219, 0.03831123)
(2.5, -1.635, 0.8775, 0.15450243, 0.0556754)
(2.6, -1.595, 0.8675, 0.16321458, 0.05698903)
(2.7, -1.56, 0.84875, 0.16569852, 0.06131833)
(2.8, -1.315, 0.7775, 0.19398711, 0.06796874)
(2.9, -1.52, 0.84625, 0.17083325, 0.05898676)
(3.0, -1.335, 0.7825, 0.19264216, 0.06788041)
(3.1, -1.54, 0.85, 0.17069271, 0.05958188)
(3.2, -1.345, 0.7925, 0.19193488, 0.06540451)
(3.3, -1.445, 0.81875, 0.18351839, 0.06411659)
(3.4, -1.21, 0.74, 0.1975753, 0.0710352)
(3.5, -1.16, 0.72125, 0.20730654, 0.07393874)
(3.6, -1.295, 0.76625, 0.19727899, 0.07028113)
(3.7, -1.245, 0.75875, 0.19798737, 0.06853421)
(3.8, -1.085, 0.7025, 0.20907176, 0.073551)
(3.9, -1.135, 0.7125, 0.20413476, 0.07378177)
(4.0, -1.09, 0.7062, 0.2088995, 0.0733037)
end1
start2
16,1600,0:00:03,
(0.1, -1.998125, 0.99953125, 0.01222446, 0.00305612)
(0.2, -1.971875, 0.98929687, 0.06401904, 0.02534972)
(0.3, -1.99375, 0.9984375, 0.02727178, 0.00681795)
(0.4, -1.98484375, 0.995625, 0.0452161, 0.01358078)
(0.5, -1.9965625, 0.99914063, 0.01652602, 0.00413151)
(0.6, -1.97890625, 0.99375, 0.04793286, 0.01489547)
(0.7, -1.98984375, 0.9971875, 0.03065528, 0.0089434)
(0.8, -1.97234375, 0.99085937, 0.05784783, 0.01970265)
(0.9, -1.985625, 0.995625, 0.04098094, 0.01323112)
(1.0, -1.9940625, 0.99820312, 0.02818438, 0.00872043)
(1.1, -1.98578125, 0.99601562, 0.03672741, 0.01099534)
(1.2, -1.9890625, 0.99726563, 0.03091698, 0.00772924)
(1.3, -1.9728125, 0.99296875, 0.04763648, 0.01255846)
(1.4, -1.956875, 0.98890625, 0.06365876, 0.01674242)
(1.5, -1.93515625, 0.9825, 0.08098454, 0.02252221)
(1.6, -1.92421875, 0.97796875, 0.08485224, 0.02664282)
(1.7, -1.7878125, 0.93109375, 0.14056577, 0.05381969)
(1.8, -1.800625, 0.94101563, 0.12324746, 0.04177197)
(1.9, -1.92703125, 0.97929687, 0.08095888, 0.02427413)
(2.0, -1.521875, 0.80085938, 0.2351562, 0.11523159)
(2.1, -1.701875, 0.90265625, 0.16245596, 0.06458615)
(2.2, -1.7203125, 0.91445312, 0.15197528, 0.05231529)
(2.3, -1.65265625, 0.88335937, 0.18266122, 0.07549673)
(2.4, -1.48484375, 0.80132812, 0.20425351, 0.100617)
(2.5, -1.339375, 0.7565625, 0.23320471, 0.10852412)
(2.6, -1.1359375, 0.65953125, 0.22311625, 0.11012704)
(2.7, -1.376875, 0.7884375, 0.20490714, 0.08354181)
(2.8, -1.2109375, 0.70875, 0.23333101, 0.10529542)
(2.9, -1.05, 0.62617188, 0.23900837, 0.11602033)
(3.0, -0.72, 0.4440625, 0.23223049, 0.12294301)
(3.1, -0.99375, 0.6025, 0.24638638, 0.11979253)
(3.2, -0.975, 0.57695312, 0.2446426, 0.12146636)
(3.3, -0.93609375, 0.57140625, 0.2424929, 0.11775158)
(3.4, -0.70515625, 0.46226563, 0.21528352, 0.11193744)
(3.5, -0.755, 0.4690625, 0.18195741, 0.10690234)
(3.6, -0.734375, 0.441875, 0.2157219, 0.12124381)
(3.7, -0.79359375, 0.51117188, 0.21797863, 0.11323523)
(3.8, -0.64203125, 0.41632812, 0.17285424, 0.10144348)
(3.9, -0.6790625, 0.46234375, 0.21663878, 0.11024686)
(4.0, -0.5278125, 0.3813281, 0.2044535, 0.1090649)
end2
start3
36,3600,0:00:13,
(0.1, -1.99253086, 0.99813272, 0.03134303, 0.00783576)
(0.2, -1.9837037, 0.99592593, 0.03801494, 0.00950374)
(0.3, -1.99802469, 0.99950617, 0.0143528, 0.0035882)
(0.4, -1.99419753, 0.99854938, 0.02927482, 0.00731871)
(0.5, -1.98790123, 0.99697531, 0.0313742, 0.00784355)
(0.6, -1.99685185, 0.99921296, 0.02111433, 0.00527858)
(0.7, -1.9945679, 0.99864198, 0.02492942, 0.00623236)
(0.8, -1.98537037, 0.99634259, 0.04485353, 0.01121338)
(0.9, -1.99197531, 0.99799383, 0.0319958, 0.00799895)
(1.0, -1.99950617, 0.99987654, 0.00830951, 0.00207738)
(1.1, -1.99450617, 0.99862654, 0.02070364, 0.00517591)
(1.2, -1.9708642, 0.99271605, 0.05231035, 0.01307759)
(1.3, -1.96919753, 0.99154321, 0.05234421, 0.01517981)
(1.4, -1.95135802, 0.98731481, 0.05737103, 0.01541914)
