start1
4,100000,0:02:01,
(0.1, -2.0, 1.0, 0.0, 0.0)
(0.2, -2.0, 1.0, 0.0, 0.0)
(0.3, -2.0, 1.0, 0.0, 0.0)
(0.4, -2.0, 1.0, 0.0, 0.0)
(0.5, -2.0, 1.0, 0.0, 0.0)
(0.6, -2.0, 1.0, 0.0, 0.0)
(0.7, -1.9999, 0.99997, 0.00017888, 5.65672697e-05)
(0.8, -1.9996, 0.999865, 0.00035774, 0.000128051099)
(0.9, -1.99912, 0.99972, 0.00053054, 0.000178850373)
(1.0, -1.9952, 0.99836, 0.00123787, 0.000448519413)
(1.1, -1.99046, 0.99687, 0.00174305, 0.000606656819)
(1.2, -1.98594, 0.99533, 0.00211366, 0.000744923201)
(1.3, -1.97168, 0.990545, 0.00299113, 0.0010596681)
(1.4, -1.957, 0.985565, 0.00367458, 0.00130899233)
(1.5, -1.94942, 0.983225, 0.00397677, 0.00140006282)
(1.6, -1.92208, 0.974, 0.00489781, 0.00173684772)
(1.7, -1.89854, 0.966145, 0.00556311, 0.00197266678)
(1.8, -1.86534, 0.955115, 0.00635568, 0.00225309873)
(1.9, -1.8353, 0.94527, 0.00697004, 0.00246607793)
(2.0, -1.79828, 0.93301, 0.00764104, 0.00270414023)
(2.1, -1.7594, 0.91988, 0.00826938, 0.00293573257)
(2.2, -1.72686, 0.909095, 0.00872692, 0.00310042013)
(2.3, -1.69532, 0.89899, 0.00914287, 0.00323757885)
(2.4, -1.6423, 0.881175, 0.00977778, 0.00347155572)
(2.5, -1.58866, 0.863155, 0.01031069, 0.00367458179)
(2.6, -1.56024, 0.854125, 0.01057976, 0.00376155254)
(2.7, -1.5232, 0.84203, 0.0109195, 0.00387784433)
(2.8, -1.4775, 0.826865, 0.01126548, 0.00400852635)
(2.9, -1.43456, 0.812425, 0.0115541, 0.00412345718)
(3.0, -1.41162, 0.80532, 0.011726, 0.00417276307)
(3.1, -1.34874, 0.78382, 0.01205786, 0.00431955938)
(3.2, -1.3048, 0.76923, 0.01227666, 0.00440509173)
(3.3, -1.27308, 0.75911, 0.01243625, 0.0044569408)
(3.4, -1.26728, 0.757825, 0.0124718, 0.00445706216)
(3.5, -1.21418, 0.740365, 0.01268074, 0.00453902486)
(3.6, -1.18418, 0.730625, 0.01280598, 0.00458213242)
(3.7, -1.14942, 0.71876, 0.01287474, 0.00462625658)
(3.8, -1.13882, 0.71587, 0.01293287, 0.00463396406)
(3.9, -1.09178, 0.69999, 0.01304746, 0.00469005757)
(4.0, -1.0707, 0.69418, 0.0131387, 4.7013892)
end1
start2
16,100000,0:03:02,
(0.1, -1.99999, 0.9999975, 0.00011314, 2.82839884e-05)
(0.2, -1.99997, 0.9999925, 0.00019595, 4.89883251e-05)
(0.3, -1.99995, 0.9999875, 0.00025297, 6.32423908e-05)
(0.4, -1.999985, 0.99999625, 0.00013856, 3.46404965e-05)
(0.5, -1.99997, 0.9999925, 0.00019595, 4.89883251e-05)
(0.6, -1.999835, 0.99995875, 0.00045949, 0.000114872294)
(0.7, -1.999815, 0.99995375, 0.00048653, 0.000121632742)
(0.8, -1.99951, 0.9998675, 0.00083868, 0.000234851136)
(0.9, -1.998685, 0.99966625, 0.00131041, 0.00033602804)
(1.0, -1.9975025, 0.9993675, 0.0018009, 0.000460191108)
(1.1, -1.99326, 0.99828, 0.00297168, 0.00076865239)
(1.2, -1.9900875, 0.99743, 0.00362608, 0.000961608785)
(1.3, -1.98154, 0.9951625, 0.00502295, 0.00136179749)
(1.4, -1.95816, 0.98790125, 0.00805134, 0.00264803094)
(1.5, -1.95394, 0.986625, 0.00827735, 0.00281390121)
(1.6, -1.9259, 0.97814, 0.01078018, 0.00368574001)
(1.7, -1.900585, 0.970885, 0.01213818, 0.00406963523)
(1.8, -1.86939, 0.9598575, 0.01415953, 0.00522642938)
(1.9, -1.8222825, 0.94347875, 0.01688916, 0.00637455031)
(2.0, -1.7461075, 0.91420625, 0.02037335, 0.00838158381)
(2.1, -1.719665, 0.90615, 0.02109869, 0.00856854564)
(2.2, -1.6138425, 0.8644675, 0.02417472, 0.0104242798)
(2.3, -1.519165, 0.82423, 0.02656802, 0.0119092133)
(2.4, -1.437405, 0.78774625, 0.02792232, 0.0129809462)
(2.5, -1.3647425, 0.75938625, 0.02855293, 0.0133949416)
(2.6, -1.288325, 0.72641875, 0.02893092, 0.0138688156)
(2.7, -1.2141525, 0.69194, 0.02949172, 0.0144790584)
(2.8, -1.154895, 0.667915, 0.02946874, 0.0145961521)
(2.9, -1.07732, 0.6243725, 0.02993675, 0.0153693654)
(3.0, -1.0178375, 0.5999325, 0.02917105, 0.015108572)
(3.1, -0.9790275, 0.58529625, 0.02910838, 0.0149944272)
(3.2, -0.8950875, 0.54621, 0.02844803, 0.0149418027)
(3.3, -0.852905, 0.52194875, 0.02802442, 0.0149410818)
(3.4, -0.8126725, 0.50232875, 0.02740489, 0.0148433998)
(3.5, -0.78769, 0.49237125, 0.02753991, 0.0147334522)
(3.6, -0.73286, 0.46893, 0.02647601, 0.0143649823)
(3.7, -0.69641, 0.45100875, 0.02577909, 0.0141410337)
(3.8, -0.6676075, 0.43775625, 0.02559498, 0.0140435263)
(3.9, -0.6473, 0.4265175, 0.02516564, 0.0139257468)
(4.0, -0.60427, 0.4095925, 0.024352, 1.35019924)
end2
start3
36,100000,0:04:43,
(0.1, -1.99913222, 0.99967278, 0.00302758, 0.00111526)
(0.2, -1.99949111, 0.99984778, 0.00220396, 0.00064908)
(0.3, -1.99961111, 0.99989, 0.0019955, 0.00057675)
(0.4, -1.99928889, 0.99978889, 0.00260827, 0.00077937)
(0.5, -1.99916, 0.99972833, 0.00302742, 0.00100451)
(0.6, -1.99944222, 0.99985889, 0.00182581, 0.00046791)
(0.7, -1.99951111, 0.99986833, 0.00230341, 0.00063763)
(0.8, -1.99947444, 0.99985778, 0.00199309, 0.00056048)
(0.9, -1.99812889, 0.99946944, 0.0034852, 0.00102409)
(1.0, -1.99720556, 0.99921889, 0.00380058, 0.00117715)
