start1
4,100000,0:03:43,
(0.1, -1.99992, 0.999975, 0.00016, 5.29143459e-05)
(0.2, -1.9999, 0.999965, 0.00017888, 6.633135e-05)
(0.3, -1.99988, 0.99996, 0.00019595, 6.92805312e-05)
(0.4, -1.99996, 0.999985, 0.00011314, 4.47211807e-05)
(0.5, -1.99984, 0.999945, 0.00022627, 8.24595901e-05)
(0.6, -2.0, 1.0, 0.0, 0.0)
(0.7, -1.99996, 0.999985, 0.00011314, 4.47211807e-05)
(0.8, -1.99948, 0.99983, 0.00040787, 0.000141405714)
(0.9, -1.99808, 0.99934, 0.00078346, 0.000285536546)
(1.0, -1.99608, 0.99865, 0.00111891, 0.000408546288)
(1.1, -1.9906, 0.996815, 0.00173029, 0.00062191703)
(1.2, -1.9875, 0.995805, 0.00199375, 0.000709922077)
(1.3, -1.9755, 0.991805, 0.00278281, 0.000987959755)
(1.4, -1.96024, 0.986735, 0.00353134, 0.00125102439)
(1.5, -1.95104, 0.983785, 0.00390945, 0.00137519116)
(1.6, -1.92026, 0.97343, 0.00495876, 0.00175495767)
(1.7, -1.90278, 0.967625, 0.0054475, 0.00192829839)
(1.8, -1.86718, 0.95587, 0.0063114, 0.00223079731)
(1.9, -1.83378, 0.944495, 0.00700279, 0.00248924349)
(2.0, -1.78982, 0.92982, 0.00778211, 0.00276970026)
(2.1, -1.77682, 0.925785, 0.00799755, 0.00283464667)
(2.2, -1.72392, 0.908145, 0.00877109, 0.00311463039)
(2.3, -1.68654, 0.895995, 0.00924916, 0.00327905186)
(2.4, -1.63226, 0.87765, 0.0098716, 0.00351388672)
(2.5, -1.59718, 0.86593, 0.01021953, 0.00364441634)
(2.6, -1.57016, 0.85741, 0.01048614, 0.00372803349)
(2.7, -1.51368, 0.838335, 0.01097415, 0.00391546444)
(2.8, -1.4842, 0.8289, 0.01120199, 0.00399190753)
(2.9, -1.43238, 0.811815, 0.01157719, 0.00412795292)
(3.0, -1.40558, 0.80243, 0.01173789, 0.00420127977)
(3.1, -1.36512, 0.789145, 0.01197635, 0.00428884728)
(3.2, -1.325, 0.776145, 0.01220508, 0.00436738148)
(3.3, -1.28994, 0.764715, 0.01235958, 0.00442682177)
(3.4, -1.2476, 0.75122, 0.01257848, 0.00449559384)
(3.5, -1.21742, 0.741465, 0.01269014, 0.0045374608)
(3.6, -1.19662, 0.73465, 0.01276189, 0.00456606054)
(3.7, -1.14412, 0.717285, 0.01291127, 0.00463190794)
(3.8, -1.12258, 0.71048, 0.01299763, 0.00465677184)
(3.9, -1.10718, 0.705995, 0.01306258, 0.00466878866)
(4.0, -1.0641, 0.69153, 0.0131383, 4.71199714)
end1
start2
16,100000,0:05:43,
(0.1, -1.9999, 0.99997375, 0.00037091, 9.99916796e-05)
(0.2, -1.9999575, 0.9999875, 0.00026229, 7.99979e-05)
(0.3, -1.99989, 0.9999725, 0.00037519, 9.37984647e-05)
(0.4, -1.99996, 0.99999, 0.00022627, 5.65665625e-05)
(0.5, -1.9999075, 0.99997375, 0.00037733, 0.000111347923)
(0.6, -1.999885, 0.99996625, 0.00043078, 0.000131138309)
(0.7, -1.99988, 0.99996625, 0.00042704, 0.000124888911)
(0.8, -1.999495, 0.99987375, 0.00080359, 0.000200896988)
(0.9, -1.9983875, 0.999595, 0.00143936, 0.000362741522)
(1.0, -1.9958025, 0.998895, 0.00240228, 0.000654888132)
