start1
5,100000,0:02:23,
(0.1, -1.0, 1.0, 0.0, 0.0)
(0.2, -1.0, 1.0, 0.0, 0.0)
(0.3, -0.99996, 0.999968, 8.94409302e-05, 7.48318114e-05)
(0.4, -0.999784, 0.99984, 0.000207819075, 0.000162461885)
(0.5, -0.997384, 0.9981, 0.000722145658, 0.000554527344)
(0.6, -0.99, 0.992384, 0.00140535396, 0.00112708111)
(0.7, -0.974352, 0.9808, 0.00223185905, 0.00176268859)
(0.8, -0.951656, 0.964028, 0.00302096105, 0.00237574415)
(0.9, -0.913608, 0.935476, 0.00395796188, 0.00312097112)
(1.0, -0.870128, 0.903024, 0.00471978163, 0.0037261579)
(1.1, -0.823896, 0.86788, 0.00531675916, 0.00422632879)
(1.2, -0.792848, 0.847188, 0.00567199559, 0.00443372527)
(1.3, -0.730992, 0.8013, 0.00617493767, 0.00484188103)
(1.4, -0.701936, 0.781124, 0.00637352879, 0.0049683771)
(1.5, -0.6462, 0.739584, 0.00664803971, 0.00519358705)
(1.6, -0.619272, 0.721876, 0.00673976274, 0.00523503908)
(1.7, -0.582752, 0.696872, 0.00688834531, 0.00530311561)
(1.8, -0.557248, 0.679948, 0.00694258948, 0.00531943252)
(1.9, -0.518736, 0.651656, 0.00697543742, 0.00534957948)
(2.0, -0.487192, 0.63046, 0.00702087471, 0.00534414939)
(2.1, -0.470952, 0.62112, 0.00705727649, 0.00532578351)
(2.2, -0.4514, 0.608316, 0.00707920978, 0.00531038539)
(2.3, -0.435056, 0.59696, 0.00705671788, 0.00528745394)
(2.4, -0.403552, 0.576424, 0.00703799269, 0.00523156924)
(2.5, -0.396344, 0.572248, 0.00705154988, 0.00521924602)
(2.6, -0.384448, 0.565352, 0.00706297619, 0.00519470393)
(2.7, -0.368816, 0.555752, 0.00706986488, 0.00516267326)
(2.8, -0.35396, 0.547168, 0.00709857616, 0.00513443849)
(2.9, -0.34268, 0.5416, 0.00708445526, 0.00509325234)
(3.0, -0.328736, 0.53142, 0.00704190716, 0.0050549037)
(3.1, -0.31692, 0.524656, 0.00705468115, 0.00502572114)
(3.2, -0.312768, 0.522276, 0.00705558944, 0.00501405987)
(3.3, -0.310056, 0.520996, 0.00708042517, 0.00501328668)
(3.4, -0.292064, 0.51074, 0.00704635732, 0.00494772755)
(3.5, -0.282976, 0.506136, 0.00705186806, 0.00491886464)
(3.6, -0.277808, 0.501472, 0.00700518162, 0.00489519131)
(3.7, -0.266512, 0.49738, 0.00706553166, 0.00486948878)
(3.8, -0.254928, 0.488708, 0.00699495661, 0.00481665389)
(3.9, -0.258664, 0.494348, 0.00708887412, 0.00484624067)
(4.0, -0.24933, 0.48832, 7.07299018, 4.81411738)
end1
start2
50,100000,0:05:11,
(0.1, -0.9839584, 0.8862752, 0.00531072, 0.04012855)
(0.2, -0.9993008, 0.9990332, 0.00217932, 0.00251704)
(0.3, -0.9985424, 0.9977048, 0.00335687, 0.00524189)
(0.4, -0.9896584, 0.932064, 0.00446821, 0.03217264)
(0.5, -0.9761488, 0.9005864, 0.00625198, 0.02996832)
(0.6, -0.9165144, 0.5583552, 0.0097021, 0.0544158)
(0.7, -0.8840256, 0.4703008, 0.01045152, 0.04945978)
(0.8, -0.8498728, 0.4011896, 0.01252907, 0.04528069)
(0.9, -0.80146, 0.3678172, 0.01309948, 0.03868021)
(1.0, -0.7696496, 0.3149512, 0.01429273, 0.03546451)
(1.1, -0.7260008, 0.264178, 0.01537514, 0.03129255)
(1.2, -0.6824592, 0.2763864, 0.01606652, 0.03075248)
(1.3, -0.6491936, 0.252384, 0.01720312, 0.02921494)
(1.4, -0.6070152, 0.2326692, 0.01771571, 0.02669559)
(1.5, -0.579716, 0.2154708, 0.01818484, 0.02610044)
(1.6, -0.5547928, 0.2184976, 0.0190674, 0.02526085)
(1.7, -0.528772, 0.2102696, 0.01901372, 0.0238599)
(1.8, -0.499776, 0.2053072, 0.01927948, 0.02401071)
(1.9, -0.473364, 0.1924096, 0.01918233, 0.02242885)
(2.0, -0.4649336, 0.181884, 0.01945158, 0.02206732)
(2.1, -0.4428584, 0.182216, 0.02024, 0.02117404)
(2.2, -0.4233864, 0.184368, 0.02042661, 0.02143249)
(2.3, -0.4078216, 0.1768668, 0.02055637, 0.02126027)
(2.4, -0.3971056, 0.1693488, 0.02079615, 0.02037263)
(2.5, -0.3839272, 0.1762604, 0.02090697, 0.02061753)
(2.6, -0.3667328, 0.1667864, 0.02034511, 0.0198072)
(2.7, -0.3520384, 0.1631312, 0.02110834, 0.01936759)
(2.8, -0.346848, 0.165364, 0.0208143, 0.01965518)
(2.9, -0.3347416, 0.1592408, 0.02102095, 0.01904982)
(3.0, -0.32444, 0.1573016, 0.02085618, 0.01923878)
(3.1, -0.3143576, 0.1543932, 0.02114905, 0.01871535)
(3.2, -0.306004, 0.1555964, 0.02094809, 0.01868706)
(3.3, -0.2933152, 0.1533216, 0.02117208, 0.01832084)
(3.4, -0.2893584, 0.1495972, 0.02113569, 0.01812567)
(3.5, -0.2786712, 0.1499892, 0.021647, 0.01794382)
(3.6, -0.2706936, 0.1517476, 0.02130827, 0.01804681)
(3.7, -0.2607144, 0.1475732, 0.02168149, 0.01789196)
(3.8, -0.2585432, 0.1470764, 0.02191541, 0.0178027)
(3.9, -0.2504, 0.144408, 0.02140014, 0.01725346)
(4.0, -0.240028, 0.147157, 0.0216308, 0.0172091)
end2
start3
100,100000,0:08:12,
(0.1, -0.9974968, 0.9954322, 0.00419304, 0.00733763)
(0.2, -0.9918744, 0.9536724, 0.00602417, 0.03540257)
(0.3, -0.9570244, 0.3477886, 0.00463236, 0.06196437)
(0.4, -0.9634832, 0.6146972, 0.00558826, 0.06766755)
(0.5, -0.9760328, 0.7210556, 0.00809669, 0.10558384)
(0.6, -0.9300836, 0.3964288, 0.01026768, 0.0724261)
(0.7, -0.88742, 0.3148552, 0.01476267, 0.06907166)
(0.8, -0.8547428, 0.2946946, 0.01658492, 0.06242023)
(0.9, -0.8129864, 0.2682488, 0.01874169, 0.06362028)
(1.0, -0.7573456, 0.222078, 0.01903882, 0.05628543)
(1.1, -0.7140352, 0.2394934, 0.0234139, 0.05060233)
(1.2, -0.6842496, 0.2000652, 0.02248898, 0.04744554)
(1.3, -0.6511692, 0.1701772, 0.02494621, 0.04107222)
(1.4, -0.6107248, 0.1608156, 0.02487071, 0.03806186)
(1.5, -0.5837888, 0.156252, 0.0246421, 0.03698254)
(1.6, -0.5498292, 0.1385436, 0.02686077, 0.03285524)
(1.7, -0.5331092, 0.1536584, 0.02662044, 0.03539016)
(1.8, -0.501192, 0.1347672, 0.02788715, 0.03113979)
(1.9, -0.4824896, 0.135982, 0.0268836, 0.03218314)
(2.0, -0.4662868, 0.1308666, 0.02814394, 0.03117458)
(2.1, -0.4425972, 0.1338486, 0.02889004, 0.03192116)
(2.2, -0.4255572, 0.130258, 0.02871841, 0.03161573)
(2.3, -0.4091508, 0.1274434, 0.02838012, 0.03128397)
(2.4, -0.3933456, 0.123242, 0.02936784, 0.03016269)
(2.5, -0.3770528, 0.1243246, 0.02934584, 0.02957691)
(2.6, -0.365942, 0.115054, 0.02948718, 0.02815395)
(2.7, -0.3550452, 0.119917, 0.02858144, 0.02839168)
(2.8, -0.3447568, 0.116802, 0.02928255, 0.0279012)
(2.9, -0.3283892, 0.1122888, 0.03016435, 0.0277392)
(3.0, -0.323606, 0.1108658, 0.02982723, 0.02688433)
(3.1, -0.3072516, 0.1095898, 0.02924043, 0.02674956)
(3.2, -0.3006168, 0.110249, 0.031328, 0.02627462)
(3.3, -0.2976432, 0.1153158, 0.03061599, 0.027809)
(3.4, -0.2814276, 0.108806, 0.03056831, 0.02621719)
(3.5, -0.2776548, 0.1127658, 0.0305785, 0.02649641)
(3.6, -0.2733156, 0.100769, 0.03014546, 0.0246997)
(3.7, -0.2640776, 0.107175, 0.03153119, 0.0251878)
(3.8, -0.2554316, 0.1013536, 0.03111721, 0.02474298)
(3.9, -0.2489612, 0.1029378, 0.03058235, 0.02512608)
(4.0, -0.248942, 0.099775, 0.0314553, 0.0245235)
end3
start4
1000,100000,0:54:53,
(0.1, -0.96585932, 0.7440951, 0.11716954, 0.08670365)
(0.2, -0.94909576, 0.55280666, 0.11930641, 0.15565841)
(0.3, -0.952633, 0.7078866, 0.12083806, 0.10838923)
(0.4, -0.95850868, 0.76187004, 0.11295403, 0.11671757)
(0.5, -0.95028084, 0.72759062, 0.13687538, 0.18244627)
(0.6, -0.92024688, 0.45027806, 0.0834592, 0.40684568)
(0.7, -0.90339432, 0.53360186, 0.09428536, 0.40384888)
(0.8, -0.85316268, 0.29412246, 0.066666, 0.56431657)
(0.9, -0.80184744, 0.1757047, 0.06332322, 0.55402143)
(1.0, -0.762072, 0.16148048, 0.06856806, 0.47579528)
(1.1, -0.71967648, 0.10610066, 0.06977651, 0.46994522)
(1.2, -0.68386924, 0.0776151, 0.06990907, 0.43487813)
(1.3, -0.64964912, 0.10730128, 0.07299716, 0.37685257)
(1.4, -0.61230556, 0.07551004, 0.075486, 0.31072589)
(1.5, -0.58704124, 0.0656565, 0.08774658, 0.33419403)
(1.6, -0.55404964, 0.06991798, 0.08374602, 0.3248404)
(1.7, -0.5257312, 0.05687086, 0.08531495, 0.30906159)
(1.8, -0.5073268, 0.05857246, 0.09854039, 0.26730523)
