start1
4,4000,0:00:04,
(1.8, -1.84084877, 0.94521914, 0.04150521, 0.02023893)
(1.9, -1.8126142, 0.93533951, 0.04691892, 0.02191686)
(2.0, -1.75737037, 0.92008333, 0.0502637, 0.02124982)
(2.1, -1.65722222, 0.87165895, 0.0621988, 0.03178216)
(2.2, -1.57524074, 0.82596759, 0.07330976, 0.04040246)
(2.3, -1.5341142, 0.82656019, 0.06651876, 0.03334499)
(2.4, -1.43073765, 0.75834722, 0.07898798, 0.04580269)
(2.5, -1.26297222, 0.65466358, 0.08092115, 0.05393971)
(2.6, -1.28755556, 0.69723302, 0.07663197, 0.04674687)
(2.7, -1.07236111, 0.55478395, 0.07835157, 0.05385735)
(2.8, -0.98870679, 0.50755093, 0.07742532, 0.05196366)
(2.9, -0.95348765, 0.49676698, 0.07592374, 0.05208602)
(3.0, -0.88958333, 0.45516204, 0.06954984, 0.05022601)
(3.1, -0.84464815, 0.41893827, 0.0661165, 0.04770485)
(3.2, -0.84134568, 0.42502778, 0.0695897, 0.0483825)
(3.3, -0.73289815, 0.35814352, 0.06330249, 0.04483465)
(3.4, -0.76321605, 0.37877932, 0.07057941, 0.04892312)
(3.5, -0.67534568, 0.32841512, 0.06025976, 0.04311343)
(3.6, -0.65892593, 0.32746296, 0.05874671, 0.04119991)
(3.7, -0.66258642, 0.3365571, 0.06029797, 0.0422133)
(3.8, -0.60934568, 0.30156481, 0.05370782, 0.03842052)
(3.9, -0.60933951, 0.31251852, 0.05785879, 0.04010867)
(4.0, -0.5843827, 0.2948719, 0.055468, 0.0385253)
end3
start4
64,64000,0:07:18,
(0.1, -1.99837793, 0.99953271, 0.00821296, 0.0024675)
(0.2, -1.99789746, 0.99921973, 0.01027257, 0.00392211)
(0.3, -1.99913672, 0.99975537, 0.00712987, 0.00200757)
(0.4, -1.99829688, 0.99948779, 0.00837278, 0.00254103)
(0.5, -1.99860059, 0.99957861, 0.00804065, 0.00247396)
(0.6, -1.99795996, 0.99931104, 0.01089668, 0.0037793)
(0.7, -1.99832227, 0.9993999, 0.00881624, 0.00317174)
(0.8, -1.99630957, 0.99886279, 0.01125345, 0.0037443)
(0.9, -1.99774316, 0.99932715, 0.00851872, 0.00268865)
(1.0, -1.99412793, 0.99833545, 0.01218863, 0.00391978)
(1.1, -1.99231348, 0.99795752, 0.01134078, 0.00342692)
(1.2, -1.98188379, 0.99476465, 0.01547021, 0.00490772)
(1.3, -1.97981836, 0.99443164, 0.01607269, 0.00490037)
(1.4, -1.96257715, 0.98976318, 0.02042151, 0.00638918)
(1.5, -1.94927539, 0.98562256, 0.02354004, 0.00776385)
(1.6, -1.92094629, 0.97728174, 0.02939437, 0.00966482)
(1.7, -1.89660352, 0.96680762, 0.03579561, 0.0155462)
(1.8, -1.85607715, 0.95656543, 0.03811825, 0.01310192)
(1.9, -1.80237891, 0.93647217, 0.04663939, 0.01865993)
(2.0, -1.74298633, 0.91125195, 0.05343556, 0.02346457)
(2.1, -1.66709961, 0.87739795, 0.06172961, 0.03245682)
(2.2, -1.55522559, 0.79485693, 0.08130585, 0.05946701)
(2.3, -1.47683008, 0.77667627, 0.07756072, 0.05104054)
(2.4, -1.26947559, 0.63313623, 0.07893328, 0.0634085)
(2.5, -1.24387109, 0.62571533, 0.08636859, 0.06662044)
(2.6, -1.04847168, 0.45898926, 0.07317911, 0.06629848)
(2.7, -0.97318164, 0.41180566, 0.06953316, 0.06272263)
(2.8, -0.9410459, 0.41970703, 0.07259851, 0.06137912)
(2.9, -0.88160156, 0.36746582, 0.06845014, 0.05927083)
(3.0, -0.85880176, 0.35637158, 0.06619939, 0.05822006)
(3.1, -0.78388086, 0.30128809, 0.06064737, 0.0520086)
(3.2, -0.75846484, 0.28594678, 0.05952573, 0.05143943)
(3.3, -0.71647656, 0.27324072, 0.06196147, 0.04954714)
(3.4, -0.69170605, 0.26584229, 0.05760904, 0.04744671)
(3.5, -0.67575391, 0.26133008, 0.0583533, 0.04588444)
(3.6, -0.66543262, 0.25216064, 0.05728924, 0.04674479)
(3.7, -0.61463281, 0.22695068, 0.05321496, 0.03969387)
(3.8, -0.59792383, 0.23017725, 0.05350323, 0.0407573)
(3.9, -0.57213672, 0.21044336, 0.05216899, 0.03799118)
(4.0, -0.5489179, 0.2052026, 0.0523727, 0.0379265)
end4
start5
100,100000,0:19:01,
(0.1, -1.999164, 0.9997588, 0.00540701, 0.00166078)
(0.2, -1.9994252, 0.999849, 0.00528974, 0.00141468)
(0.3, -1.999286, 0.9998108, 0.00470321, 0.00129631)
(0.4, -1.998828, 0.9995612, 0.00685649, 0.00262784)
(0.5, -1.9982472, 0.9994288, 0.00914907, 0.00312963)
(0.6, -1.9990772, 0.999736, 0.0057005, 0.00164786)
(0.7, -1.9991596, 0.9997258, 0.0057604, 0.00199702)
(0.8, -1.9991572, 0.9997478, 0.00447332, 0.0013584)
(0.9, -1.9972448, 0.9991316, 0.00715962, 0.00266499)
(1.0, -1.9954972, 0.998557, 0.01000174, 0.00396668)
(1.1, -1.9940132, 0.9984564, 0.00809315, 0.0021858)
(1.2, -1.9841236, 0.9958204, 0.01216232, 0.00337264)
(1.3, -1.9837252, 0.9957368, 0.01308768, 0.00370536)
(1.4, -1.9656108, 0.9907618, 0.01788342, 0.00508279)
(1.5, -1.9478616, 0.985166, 0.02347817, 0.0077772)
(1.6, -1.9301648, 0.9800376, 0.02681535, 0.00845018)
(1.7, -1.9030712, 0.9722854, 0.03092185, 0.00978056)
(1.8, -1.8505164, 0.9525732, 0.03809329, 0.01587258)
(1.9, -1.79833, 0.9327148, 0.04832491, 0.02208836)
(2.0, -1.7721468, 0.9227682, 0.05078348, 0.02314327)
(2.1, -1.6415016, 0.8590526, 0.06545519, 0.04022418)
(2.2, -1.5926812, 0.8307352, 0.07744123, 0.05129672)
(2.3, -1.4354896, 0.7449858, 0.0819743, 0.05830287)
(2.4, -1.2927732, 0.6249998, 0.08534007, 0.07991169)
(2.5, -1.1664508, 0.53642, 0.0796515, 0.07395168)
(2.6, -1.1017808, 0.4835278, 0.08289291, 0.08077038)
(2.7, -1.0004948, 0.3982458, 0.07399701, 0.07425026)
(2.8, -0.946364, 0.3629458, 0.0724893, 0.07196579)
(2.9, -0.8493528, 0.2688712, 0.06133706, 0.05686583)
(3.0, -0.8289816, 0.2848594, 0.0606011, 0.06027302)
(3.1, -0.7821464, 0.2328624, 0.06204767, 0.05736457)
(3.2, -0.7553216, 0.2413154, 0.05670296, 0.05426275)
(3.3, -0.7161396, 0.2394274, 0.05568557, 0.05044782)
(3.4, -0.678396, 0.2076392, 0.05462476, 0.04649542)
(3.5, -0.6610376, 0.212334, 0.05630316, 0.04721383)
(3.6, -0.640164, 0.1904554, 0.0535895, 0.04463292)
(3.7, -0.6119348, 0.1801934, 0.05321976, 0.04397202)
(3.8, -0.589984, 0.183512, 0.05360889, 0.04144304)
(3.9, -0.5744388, 0.1674952, 0.05451498, 0.03974982)
(4.0, -0.559128, 0.158047, 0.0518514, 0.0385054)
end5
